idx,kind,cycles
1434,valid,64216
1435,invalid,64232
1436,valid,64207
1437,invalid,64171
1438,valid,64208
1439,invalid,64203
1440,valid,64213
1441,invalid,64199
1442,valid,64371
1443,invalid,64168
1444,valid,64302
1445,invalid,64244
1446,valid,64305
1447,invalid,64291
1448,valid,64228
1449,invalid,64237
1450,valid,64237
1451,invalid,64572
1452,valid,67353
1453,invalid,64263
1454,valid,64206
1455,invalid,64200
1456,valid,64207
1457,invalid,64255
1458,valid,64253
1459,invalid,64317
1460,valid,65469
1461,invalid,64300
1462,valid,64419
1463,invalid,64230
1464,valid,64612
1465,invalid,64293
1466,valid,64293
1467,invalid,64275
1468,valid,65228
1469,invalid,64271
1470,valid,64514
1471,invalid,64243
1472,valid,64186
1473,invalid,64230
1474,valid,64181
1475,invalid,64169
1476,valid,64215
1477,invalid,64198
1478,valid,64212
1479,invalid,64248
1480,valid,64209
1481,invalid,64641
1482,valid,64942
1483,invalid,64352
1484,valid,64215
1485,invalid,64209
1486,valid,64205
1487,invalid,64229
1488,valid,64300
1489,invalid,64281
1490,valid,64187
1491,invalid,64216
1492,valid,65986
1493,invalid,64300
1494,valid,65500
1495,invalid,66255
1496,valid,64194
1497,invalid,64203
1498,valid,64239
1499,invalid,64243
1500,valid,64728
1501,invalid,64275
1502,valid,64237
1503,invalid,64303
1504,valid,64239
1505,invalid,64171
1506,valid,64212
1507,invalid,64230
1508,valid,64210
1509,invalid,64296
1510,valid,64319
1511,invalid,64216
1512,valid,64216
1513,invalid,64286
1514,valid,64236
1515,invalid,64174
1516,valid,64205
1517,invalid,64200
1518,valid,64214
1519,invalid,64235
1520,valid,64177
1521,invalid,64223
1522,valid,64214
1523,invalid,64171
1524,valid,64189
1525,invalid,64309
1526,valid,64237
1527,invalid,64239
1528,valid,64196
1529,invalid,64234
1530,valid,64211
1531,invalid,64291
1532,valid,65521
1533,invalid,64158
1534,valid,64252
1535,invalid,64207
1536,valid,65565
1537,invalid,65929
1538,valid,65200
1539,invalid,65174
1540,valid,64280
1541,invalid,64247
1542,valid,64262
1543,invalid,64191
1544,valid,64264
1545,invalid,64127
1546,valid,64192
1547,invalid,64173
1548,valid,64264
1549,invalid,64221
1550,valid,64310
1551,invalid,64189
1552,valid,64241
1553,invalid,64192
1554,valid,64269
1555,invalid,64185
1556,valid,64227
1557,invalid,64223
1558,valid,64245
1559,invalid,64200
1560,valid,64198
1561,invalid,64154
1562,valid,64208
1563,invalid,64171
1564,valid,64234
1565,invalid,64147
1566,valid,64172
1567,invalid,64154
1568,valid,64199
1569,invalid,64225
1570,valid,64204
1571,invalid,64206
